source,target
2998183,1231277
1231277,1231277
60158,60158
60158,24810
60158,5788
60158,87514
60158,2177
60158,11140
24810,24810
24810,22865
24810,1503749
24810,1430
2535,2535
2535,562922
2535,21215
2535,225620
2535,21563
2535,2939038
2535,8689
2535,2297056
2535,2295
2535,141823
2535,1841650
2535,1838518
2535,58924
2535,21355
2535,1922617
2535,587035
2535,479206
2535,154382
2535,31134
2535,74613
2535,2808544
2535,1297171
2535,108081
2535,1220781
2535,115002
2535,7447
225620,225620
225620,1395884
225620,105762
225620,1142232
1683093,1683093
1683093,79538
1683093,1562353
1683093,7672
1683093,1432244
1683093,127931
1683093,77353
1683093,233191
1683093,1108907
1683093,9278
1683093,19536
79538,79538
79538,3593345
79538,3593347
79538,1562353
79538,1214197
79538,58924
79538,16897
79538,20493
79538,119598
79538,109686
79538,109687
79538,77072
1562353,1562353
1562353,1232383
1562353,109686
1562353,1573627
1562353,1437841
1562353,55637
1562353,1100816
1562353,3581413
1562353,60490
1038,1038
1038,4173
1038,349
1038,380
1038,1036
4173,4173
4173,5049
4173,10774
4173,39187
4173,34546
4173,349
4173,54448
4173,54441
4173,54443
4173,20215
4173,1776
4173,2130
4173,7447
4173,9560
4173,3085
4173,4786
4173,707
4173,326
349,1137
349,349
349,11770
349,515
349,28974
349,15851
349,15009
349,8349
349,8351
349,8354
4587,4587
4587,33181
4587,63611
4587,53574
4587,16217
4587,9780
4587,2710
4587,8691
4587,15762
4587,1160
4587,1813
4587,8891
4587,44038
4587,1121437
4587,70243
4587,15973
4587,16108
9780,44796
9780,9780
9780,77896
9780,35705
9780,143242
9780,174837
9780,134
9780,56323
9780,78577
9780,1897
9780,18471
9780,3223
9780,16828
9780,103
19011,19011
19011,1189929
19011,7904
19011,146687
19011,74266
19011,533195
19011,143280
19011,2801284
19011,1220601
19011,1066763
19011,8261
19011,50707
19011,1322033
19011,1322034
19011,1233313
19011,3273875
19011,3622690
19011,3622691
19011,1670479
19011,1625013
19011,84384
19011,1152
19011,3331792
19011,120578
19011,3492377
19011,3492379
19011,3492380
19011,2130
19011,16431
19011,2203
19011,16811
19011,3910768
19011,2823180
146687,146687
146687,74266
146687,1442410
146687,1442411
146687,1225259
146687,174981
146687,1094687
146687,3492377
146687,3492379
146687,3492380
146687,1306064
146687,558240
146687,47
146687,3219627
146687,2921077
146687,37759
146687,20056
146687,2330903
74266,74266
1507609,1507609
1507609,1507612
1507609,1507613
1507612,1507612
1507612,1507613
1507613,1507613
1122373,1122373
1122373,1122374
1122373,1122375
1122373,3897137
1122373,9290
1122374,1122374
1122374,1122375
1122374,3897137
1122374,9290
1122375,1122375
1897,1897
1897,77896
1897,15535
1897,5726
1897,68215
1897,181975
1897,82587
1897,78029
1897,9309
1897,57551
77896,77896
77896,18291
77896,1633946
77896,44796
77896,10814
77896,1903010
77896,55638
2395,2395
2395,5916
2395,9206
2395,1735828
2395,53397
2395,36811
2395,1870421
2395,7904
2395,2157
2395,2412016
2395,186529
2395,88059
2395,15411
2395,1428
2395,1430
2395,1429
2395,53396
2395,8534
2395,1121
2395,3392
2395,17051
2395,59315
2395,2838
2395,9309
2395,57551
2395,5726
2395,155488
2395,292445
2395,21986
2395,2387
2395,2388
2395,1213786
2395,4756
2395,15152
2395,16940
2395,16418
2395,148120
2395,83170
2395,2774840
2395,1179651
2395,216674
2395,73641
2395,1202593
2395,33684
2395,515
2395,1650331
2395,350
2395,2391
2395,172069
2395,1215522
2395,1896
2395,6240
2395,21411
2395,206637
2395,120608
2395,1596910
2395,24045
1735828,1735828
1735828,53397
1735828,934281
1735828,1700685
1735828,1241339
1735828,14386
1735828,84932
1735828,1214573
1735828,93527
1735828,167662
1735828,2384929
53397,53397
53397,138986
53397,7904
53397,167662
53397,2384929
53397,72208
53397,3284
53397,18746
53397,37934
53397,15310
53397,12207
53397,1564846
53397,1473281
53397,2522829
53397,23678
53397,35806
1224841,1224841
1224841,1212304
1224841,539
1224841,111513
1224841,1192274
1224841,132354
539,539
539,133451
539,111684
539,111513
539,1192274
539,132354
539,529
539,530
539,532
111513,111513
111513,60227
111513,1249820
111513,1192274
111513,132354
111513,8536
111513,1178795
111513,1842039
111513,71403
111513,129193
111513,3223
111513,16828
111513,103
2682390,2682390
2682390,2227
2682390,4430
2227,2227
2227,75394
2227,1083951
2227,500
2227,488
2227,150536
2227,76182
2227,4430
2227,76788
2227,108916
2227,1371
2227,113552
2227,1242514
2227,1246450
2227,326
2227,1747292
2227,106179
4430,4430
4430,82315
4430,11492
4430,1916574
4430,5168
4430,6449
4430,516
4430,380
4430,4517
4430,71531
4430,1383964
4430,1867979
4430,11770
4430,515
4430,349
4430,8293
4430,32017
4430,3753843
4430,5682
4430,44556
4430,20234
4430,15762
4430,1160
4430,1813
14837,14837
14837,40159
14837,58414
14837,518
14837,4
14837,5823
14837,3141
14837,6541
14837,157359
14837,1729824
14837,1220781
14837,115002
14837,7447
14837,1392152
14837,26510
14837,11514
14837,6240
14837,21411
14837,206637
5823,5823
5823,290
5823,21104
5823,1729824
5823,80866
5823,40063
5823,537064
5823,109887
5823,8515
5823,5829
5823,1813
5823,1201
5823,1041410
5823,3141
5823,22384
5823,105637
3141,3141
3141,6613
3141,57133
3141,18461
3141,1216139
3141,57389
3141,3223
3141,16828
3141,103
449538,449538
449538,13309
449538,1661465
449538,87525
449538,7056
449538,154782
449538,154783
449538,174875
13309,13309
13309,929825
13309,2302408
13309,20019
13309,1658802
13309,964843
13309,102786
13309,1661465
13309,3889844
13309,113461
13309,206444
13309,1700631
13309,172069
13309,1215522
13309,1896
13309,14837
13309,5823
13309,3141
1661465,1661465
102786,102786
102786,128550
102786,2320880
102786,2503684
102786,107379
102786,55638
102786,1116399
102786,18802
102786,103
102786,66620
102786,2134341
102786,3089883
102786,1608713
102786,964843
102786,1068409
102786,1068410
102786,1068411
102786,2954
102786,2301996
102786,149923
102786,1063969
102786,1063970
102786,1152
102786,3331792
102786,120578
102786,10279
102786,89300
102786,46432
102786,210695
102786,1258041
102786,1236577
102786,35705
102786,143242
102786,174837
102786,3451053
102786,3527796
102786,1745467
102786,1173480
102786,1348088
102786,1977908
102786,2169865
102786,2920376
102786,2920377
102786,13611
102786,10750
102786,8261
128550,128550
128550,2320880
128550,3125
128550,116341
128550,1107983
128550,1280183
128550,1006651
2320880,2320880
